PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,-99.56,112.85,0,0,0,0
2,0,0,0,-98.83,112.16,0,0,0,0
3,0,0,0,-98.1,111.48,0,0,0,0
4,0,0,0,-97.37,110.8,0,0,0,0
5,0,0,0,-96.64,110.11,0,0,0,0
6,0,0,0,-95.91,109.43,0,0,0,0
7,0,0,0,-95.18,108.75,0,0,0,0
8,0,0,0,-94.45,108.06,0,0,0,0
9,0,0,0,-93.72,107.38,0,0,0,0
10,0,0,0,-92.99,106.69,0,0,0,0
11,0,0,0,-92.26,106.01,0,0,0,0
12,0,0,0,-91.53,105.33,0,0,0,0
13,0,0,0,-90.8,104.64,0,0,0,0
14,0,0,0,-90.07,103.96,0,0,0,0
15,0,0,0,-89.34,103.28,0,0,0,0
16,0,0,0,-88.61,102.59,0,0,0,0
17,0,0,0,-87.88,101.91,0,0,0,0
18,0,0,0,-87.15,101.23,0,0,0,0
19,0,0,0,-86.42,100.54,0,0,0,0
20,0,0,0,-85.69,99.86,0,0,0,0
21,0,0,0,-84.96,99.18,0,0,0,0
22,0,0,0,-84.23,98.49,0,0,0,0
23,0,0,0,-83.5,97.81,0,0,0,0
24,0,0,0,-82.77,97.13,0,0,0,0
25,0,0,0,-82.04,96.44,0,0,0,0
26,0,0,0,-81.31,95.76,0,0,0,0
27,0,0,0,-80.58,95.08,0,0,0,0
28,0,0,0,-79.85,94.39,0,0,0,0
29,0,0,0,-79.12,93.71,0,0,0,0
30,0,0,0,-78.39,93.02,0,0,0,0
31,0,0,0,-77.66,92.34,0,0,0,0
32,0,0,0,-76.93,91.66,0,0,0,0
33,0,0,0,-76.2,90.97,0,0,0,0
34,0,0,0,-75.47,90.29,0,0,0,0
35,0,0,0,-74.74,89.61,0,0,0,0
36,0,0,0,-74.01,88.92,0,0,0,0
37,0,0,0,-73.28,88.24,0,0,0,0
38,0,0,0,-72.55,87.56,0,0,0,0
39,0,0,0,-71.82,86.87,0,0,0,0
40,0,0,0,-71.09,86.19,0,0,0,0
41,0,0,0,-70.36,85.51,0,0,0,0
42,0,0,0,-69.63,84.82,0,0,0,0
43,0,0,0,-68.9,84.14,0,0,0,0
44,0,0,0,-68.17,83.46,0,0,0,0
45,0,0,0,-67.44,82.77,0,0,0,0
46,0,0,0,-66.71,82.09,0,0,0,0
47,0,0,0,-65.98,81.41,0,0,0,0
48,0,0,0,-65.25,80.72,0,0,0,0
49,0,0,0,-64.52,80.04,0,0,0,0
50,0,0,0,-63.79,79.35,0,0,0,0
51,0,0,0,-63.06,78.67,0,0,0,0
52,0,0,0,-62.33,77.99,0,0,0,0
53,0,0,0,-61.6,77.3,0,0,0,0
54,0,0,0,-60.87,76.62,0,0,0,0
55,0,0,0,-60.14,75.94,0,0,0,0
56,0,0,0,-59.41,75.25,0,0,0,0
57,0,0,0,-58.68,74.57,0,0,0,0
58,0,0,0,-57.95,73.89,0,0,0,0
59,0,0,0,-57.22,73.2,0,0,0,0
60,0,0,0,-56.49,72.52,0,0,0,0
61,0,0,0,-55.76,71.84,0,0,0,0
62,0,0,0,-55.03,71.15,0,0,0,0
63,0,0,0,-54.3,70.47,0,0,0,0
64,0,0,0,-53.57,69.79,0,0,0,0
65,0,0,0,-52.84,69.1,0,0,0,0
66,0,0,0,-52.11,68.42,0,0,0,0
67,0,0,0,-51.38,67.74,0,0,0,0
68,0,0,0,-50.65,67.05,0,0,0,0
69,0,0,0,-49.92,66.37,0,0,0,0
70,0,0,0,-49.19,65.68,0,0,0,0
71,0,0,0,-48.46,65,0,0,0,0
72,0,0,0,-47.73,64.32,0,0,0,0
73,0,0,0,-47,63.63,0,0,0,0
74,0,0,0,-46.27,62.95,0,0,0,0
75,0,0,0,-45.54,62.27,0,0,0,0
76,0,0,0,-44.81,61.58,0,0,0,0
77,0,0,0,-44.08,60.9,0,0,0,0
78,0,0,0,-43.35,60.22,0,0,0,0
79,0,0,0,-42.62,59.53,0,0,0,0
80,0,0,0,-41.89,58.85,0,0,0,0
81,0,0,0,-41.16,58.17,0,0,0,0
82,0,0,0,-40.43,57.48,0,0,0,0
83,0,0,0,-39.7,56.8,0,0,0,0
